Gestion;Mes;Nivel_de_Administracion;Institucion;Fuente_de_Financiamiento;Grupo_de_Gasto;Objeto_de_Gasto; Aprobado ; Vigente ; Ejecutado_del_Mes ; Ejecutado_Acumulado ; Saldo_Disponible ; %_de_Ejecucion,,,,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;20000 - SERVICIOS NO PERSONALES;25300 - Servicio de Imprenta,Publicaciones y Reproducciones; 180,000 ; 180,000 ; -   ; -   ; 180,000 ; -,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;20000 - SERVICIOS NO PERSONALES;25400 - Primas y Gastos de Seguro; 180,000 ; 180,000 ; -   ; -   ; 180,000 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;20000 - SERVICIOS NO PERSONALES;25500 - Comisiones y Gastos Bancarios; 15,000 ; 15,000 ; -   ; -   ; 15,000 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;20000 - SERVICIOS NO PERSONALES;25600 - Publicidad y Propaganda; -   ; -   ; -   ; -   ; -   ; -,,,,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;20000 - SERVICIOS NO PERSONALES;25700 - Servicio de Internet; 20,000 ; 20,000 ; -   ; -   ; 20,000 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;20000 - SERVICIOS NO PERSONALES;26110 - Pasajes Nacionales; 20,000 ; 20,000 ; -   ; -   ; 20,000 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;20000 - SERVICIOS NO PERSONALES;26120 - Pasajes al Exterior; 180,000 ; 180,000 ; -   ; -   ; 180,000 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;20000 - SERVICIOS NO PERSONALES;26210 - Viaticos Nacionales; 80,000 ; 80,000 ; -   ; -   ; 80,000 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;20000 - SERVICIOS NO PERSONALES;26220 - Viaticos al Exterior; 260,000 ; 260,000 ; -   ; -   ; 260,000 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;20000 - SERVICIOS NO PERSONALES;29200 - Servicios de Vigilancia; 80,000 ; 80,000 ; -   ; -   ; 80,000 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;30000 - MATERIALES Y SUMINISTROS;31100 - Alimentos y Bebidas para Personas; 8446,520 ; 8446,520 ; -   ; -   ; 8446,520 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;30000 - MATERIALES Y SUMINISTROS;33100 - Papel de Escritorio; 250,000 ; 250,000 ; -   ; -   ; 250,000 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;30000 - MATERIALES Y SUMINISTROS;33300 - Productos de Artes Graficas; 120,000 ; 120,000 ; -   ; -   ; 120,000 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;30000 - MATERIALES Y SUMINISTROS;33400 - Productos de Papel y Carton; 118,000 ; 118,000 ; -   ; -   ; 118,000 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;30000 - MATERIALES Y SUMINISTROS;35620 - Diesel; 50,000 ; 50,000 ; -   ; -   ; 50,000 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;30000 - MATERIALES Y SUMINISTROS;39100 - Elementos de Limpieza y Aseo Personal; 80,000 ; 80,000 ; -   ; -   ; 80,000 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;30000 - MATERIALES Y SUMINISTROS;39200 - Utiles de Escritorio,Oficina y Ensenanza; 220,852 ; 220,852 ; -   ; -   ; 220,852 ; -,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;30000 - MATERIALES Y SUMINISTROS;39600 - Repuestos y Accesorios; 650,000 ; 650,000 ; -   ; -   ; 650,000 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;40000 - BIENES CAPITALIZABLES;42600 - Equipos para Computacion; 2324,358 ; 2324,358 ; -   ; -   ; 2324,358 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;40000 - BIENES CAPITALIZABLES;45100 - Aplicaciones Informaticas; 11619,018 ; 11619,018 ; -   ; -   ; 11619,018 ; -,,,,,
2018;Enero;Administracion Central;0031 - Cuenta del Desafio del Milenio-Honduras;28 - Cuenta del Milenio;50000 - TRANSFERENCIAS Y DONACIONES;51310 - Transferencias Corrientes A Instituciones Sin Fines De Lucro; 9225,475 ; 9225,475 ; 2832,744 ; 2832,744 ; 6392,731 ; 30.7,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11100 - Sueldos Basicos; 19789,517 ; 19789,517 ; 1545,740 ; 1545,740 ; 18243,777 ; 7.8,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11400 - Adicionales; 827,734 ; 827,734 ; -   ; -   ; 827,734 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11510 - Decimotercer Mes; 1649,127 ; 1649,127 ; -   ; -   ; 1649,127 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11520 - Decimocuarto Mes; 1649,127 ; 1649,127 ; -   ; -   ; 1649,127 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11600 - Complementos; 1649,127 ; 1649,127 ; 57,948 ; 57,948 ; 1591,179 ; 3.5,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11710 - Contribuciones al Instituto Nacional de Jubilaciones y Pensiones de los Empleados y Funcionarios del; 2869,480 ; 2869,480 ; 185,853 ; 185,853 ; 2683,627 ; 6.5,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11750 - Contribuciones para Seguro Social; 378,290 ; 378,290 ; 30,069 ; 30,069 ; 348,221 ; 7.9,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;12100 - Sueldos Basicos; 2497,200 ; 2497,200 ; -   ; -   ; 2497,200 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;12410 - Decimotercer Mes; 208,100 ; 208,100 ; -   ; -   ; 208,100 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;12420 - Decimocuarto Mes; 208,100 ; 208,100 ; -   ; -   ; 208,100 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;12550 - Contribuciones para Seguro Social; 96,139 ; 96,139 ; -   ; -   ; 96,139 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;21100 - Energia Electrica; 360,000 ; 360,000 ; -   ; -   ; 360,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;21420 - Telefonia Fija; 37,920 ; 37,920 ; 2,922 ; 2,922 ; 34,998 ; 7.7,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;21430 - Telefonia Celular; 180,000 ; 180,000 ; -   ; -   ; 180,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;22100 - Alquiler de Edificios,Viviendas y Locales; 2191,956 ; 2191,956 ; 182,662 ; 182,662 ; 2009,294 ; 8.3,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23100 - Mantenimiento y Reparacion de Edificios y Locales; 100,000 ; 100,000 ; -   ; -   ; 100,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23200 - Mantenimiento y Reparacion de Equipos y Medios de Transporte; 123,000 ; 123,000 ; -   ; -   ; 123,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23350 - Mantenimiento y Reparacion de Equipo para Computacion; 110,000 ; 110,000 ; -   ; -   ; 110,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23360 - Mantenimiento y Reparacion de Equipo de Oficina y Muebles; 127,000 ; 127,000 ; -   ; -   ; 127,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23370 - Mantenimiento y Reparacion de Equipos de Comunicacion; 95,000 ; 95,000 ; -   ; -   ; 95,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23390 - Mantenimiento y Reparacion de Otros Equipos; 55,000 ; 55,000 ; -   ; -   ; 55,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23500 - Limpieza,Aseo y Fumigacion; 63,558 ; 63,558 ; -   ; -   ; 63,558 ; -,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23600 - Mantenimiento de Sistemas Informaticos; 205,000 ; 205,000 ; -   ; -   ; 205,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;24500 - Servicios de Capacitacion; 100,000 ; 100,000 ; -   ; -   ; 100,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25300 - Servicio de Imprenta,Publicaciones y Reproducciones; 185,000 ; 185,000 ; -   ; -   ; 185,000 ; -,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25400 - Primas y Gastos de Seguro; 721,700 ; 721,700 ; -   ; -   ; 721,700 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25700 - Servicio de Internet; 206,508 ; 206,508 ; -   ; -   ; 206,508 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;26110 - Pasajes Nacionales; 30,000 ; 30,000 ; -   ; -   ; 30,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;26120 - Pasajes al Exterior; 110,000 ; 110,000 ; -   ; -   ; 110,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;26210 - Viaticos Nacionales; 285,219 ; 285,219 ; -   ; -   ; 285,219 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;26220 - Viaticos al Exterior; 100,000 ; 100,000 ; -   ; -   ; 100,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;27129 - Impuestos Municipales Varios; 41,781 ; 41,781 ; -   ; -   ; 41,781 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;27210 - Tasas; 45,200 ; 45,200 ; -   ; -   ; 45,200 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;29100 - Ceremonial y Protocolo; 275,000 ; 275,000 ; -   ; -   ; 275,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;31100 - Alimentos y Bebidas para Personas; 53,000 ; 53,000 ; -   ; -   ; 53,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;32310 - Prendas de Vestir; 25,000 ; 25,000 ; -   ; -   ; 25,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;33100 - Papel de Escritorio; 35,200 ; 35,200 ; -   ; -   ; 35,200 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;33300 - Productos de Artes Graficas; 121,826 ; 121,826 ; -   ; -   ; 121,826 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;33400 - Productos de Papel y Carton; 42,000 ; 42,000 ; -   ; -   ; 42,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;33500 - Libros,Revistas y Periodicos; 32,000 ; 32,000 ; -   ; -   ; 32,000 ; -,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;35610 - Gasolina; 60,000 ; 60,000 ; -   ; -   ; 60,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;35620 - Diesel; 180,000 ; 180,000 ; -   ; -   ; 180,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;39100 - Elementos de Limpieza y Aseo Personal; 40,000 ; 40,000 ; -   ; -   ; 40,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;39200 - Utiles de Escritorio,Oficina y Ensenanza; 60,000 ; 60,000 ; -   ; -   ; 60,000 ; -,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;39300 - Utiles y Materiales Electricos; 18,600 ; 18,600 ; -   ; -   ; 18,600 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;39400 - Utensilios de Cocina y Comedor; 2,200 ; 2,200 ; -   ; -   ; 2,200 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;39600 - Repuestos y Accesorios; 296,200 ; 296,200 ; -   ; -   ; 296,200 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;40000 - BIENES CAPITALIZABLES;42110 - Muebles Varios de Oficina; 75,000 ; 75,000 ; -   ; -   ; 75,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;40000 - BIENES CAPITALIZABLES;42120 - Equipos Varios de Oficina; 48,000 ; 48,000 ; -   ; -   ; 48,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;40000 - BIENES CAPITALIZABLES;42510 - Equipo de Comunicacion; 146,000 ; 146,000 ; -   ; -   ; 146,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;40000 - BIENES CAPITALIZABLES;42600 - Equipos para Computacion; 1181,000 ; 1181,000 ; -   ; -   ; 1181,000 ; -,,,,,
2018;Enero;Administracion Central;0032 - Instituto de Acceso a la Informacion Publica;11 - Tesoro Nacional;40000 - BIENES CAPITALIZABLES;45100 - Aplicaciones Informaticas; 793,200 ; 793,200 ; -   ; -   ; 793,200 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;12100 - Sueldos Basicos; 38574,000 ; 38574,000 ; 2455,196 ; 2455,196 ; 36118,805 ; 6.4,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;12410 - Decimotercer Mes; 3214,500 ; 3214,500 ; -   ; -   ; 3214,500 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;12420 - Decimocuarto Mes; 3214,500 ; 3214,500 ; -   ; -   ; 3214,500 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;12550 - Contribuciones para Seguro Social; 935,201 ; 935,201 ; 60,805 ; 60,805 ; 874,396 ; 6.5,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;14300 - Gastos de Representacion en el Pais; 180,000 ; 180,000 ; 15,000 ; 15,000 ; 165,000 ; 8.3,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;21100 - Energia Electrica; 600,000 ; 600,000 ; 25,946 ; 25,946 ; 574,054 ; 4.3,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;21200 - Agua; 36,000 ; 36,000 ; 3,111 ; 3,111 ; 32,889 ; 8.6,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;21420 - Telefonia Fija; 60,000 ; 60,000 ; 2,234 ; 2,234 ; 57,766 ; 3.7,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;22100 - Alquiler de Edificios,Viviendas y Locales; 3003,667 ; 3003,667 ; 250,306 ; 250,306 ; 2753,361 ; 8.3,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23100 - Mantenimiento y Reparacion de Edificios y Locales; 100,000 ; 100,000 ; -   ; -   ; 100,000 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23200 - Mantenimiento y Reparacion de Equipos y Medios de Transporte; 769,537 ; 769,537 ; -   ; -   ; 769,537 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23360 - Mantenimiento y Reparacion de Equipo de Oficina y Muebles; 126,500 ; 126,500 ; -   ; -   ; 126,500 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23500 - Limpieza,Aseo y Fumigacion; 80,000 ; 80,000 ; -   ; -   ; 80,000 ; -,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;23600 - Mantenimiento de Sistemas Informaticos; 15,680 ; 15,680 ; -   ; -   ; 15,680 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;24500 - Servicios de Capacitacion; 180,000 ; 180,000 ; -   ; -   ; 180,000 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;24710 - Servicios de Consultoria de Gestion Administrativa,Financiera y Actividades Conexas; 162,000 ; 162,000 ; -   ; -   ; 162,000 ; -,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;24720 - Servicios de Consultoria de Monitoreo y Evaluacion; 1067,147 ; 1067,147 ; -   ; -   ; 1067,147 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25300 - Servicio de Imprenta,Publicaciones y Reproducciones; 124,000 ; 124,000 ; -   ; -   ; 124,000 ; -,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25400 - Primas y Gastos de Seguro; 480,000 ; 480,000 ; -   ; -   ; 480,000 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25700 - Servicio de Internet; 171,600 ; 171,600 ; -   ; -   ; 171,600 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;25900 - Otros Servicios Comerciales y Financieros; 2,000 ; 2,000 ; -   ; -   ; 2,000 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;26110 - Pasajes Nacionales; 51,104 ; 51,104 ; -   ; -   ; 51,104 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;26120 - Pasajes al Exterior; 143,848 ; 143,848 ; -   ; -   ; 143,848 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;26210 - Viaticos Nacionales; 1194,937 ; 1194,937 ; 75,375 ; 75,375 ; 1119,562 ; 6.3,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;26220 - Viaticos al Exterior; 99,429 ; 99,429 ; -   ; -   ; 99,429 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;27122 - Impuesto sobre Bienes Inmuebles; 4,000 ; 4,000 ; -   ; -   ; 4,000 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;27210 - Tasas; 62,798 ; 62,798 ; -   ; -   ; 62,798 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;27220 - Derechos; 8,120 ; 8,120 ; -   ; -   ; 8,120 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;29100 - Ceremonial y Protocolo; 715,000 ; 715,000 ; -   ; -   ; 715,000 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;20000 - SERVICIOS NO PERSONALES;29200 - Servicios de Vigilancia; 848,580 ; 848,580 ; -   ; -   ; 848,580 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;31100 - Alimentos y Bebidas para Personas; 236,810 ; 236,810 ; -   ; -   ; 236,810 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;32100 - Hilados y Telas; 2,900 ; 2,900 ; -   ; -   ; 2,900 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;32310 - Prendas de Vestir; 211,500 ; 211,500 ; -   ; -   ; 211,500 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;33100 - Papel de Escritorio; 73,900 ; 73,900 ; -   ; -   ; 73,900 ; -,,,,,
2018;Enero;Administracion Central;0033 - Comision Nacional de Vivienda y Asentamientos Humanos;11 - Tesoro Nacional;30000 - MATERIALES Y SUMINISTROS;33300 - Productos de Artes Graficas; 200,000 ; 200,000 ; -   ; -   ; 200,000 ; -,,,,,
